N,P,K,pH,temperature,humidity,rainfall,crop,fertilizer,quantity
61,44,84,6.07,19.84,83.31,1693.22,0,2,35.9
59,56,18,6.39,24.4,46.27,1030.21,1,5,59.3
43,21,119,7.92,24.82,71.86,1166.16,0,5,34.199999999999996
88,46,34,5.86,27.87,53.23,2881.83,6,2,47.2
104,53,98,7.98,24.17,51.87,714.84,2,6,14.7
48,31,87,4.85,29.46,52.03,2682.91,3,5,42.5
56,20,40,7.61,36.52,68.36,2263.05,1,5,62.2
39,64,22,7.89,21.94,62.28,1917.67,6,5,61.3
23,19,74,5.23,36.3,75.3,1947.46,0,5,58.800000000000004
158,51,39,6.22,16.59,39.18,1384.23,3,2,22.700000000000003
105,89,82,5.16,13.64,55.53,1428.78,1,0,10.0
71,85,113,7.33,17.18,81.62,2429.03,2,3,8.999999999999998
62,64,38,6.64,16.2,30.19,2470.42,6,2,48.0
141,59,104,7.04,39.55,67.41,1799.24,0,3,0.0
151,41,27,5.29,21.43,77.14,2352.06,1,2,32.6
96,77,12,5.35,29.54,53.03,2468.15,6,2,44.3
102,27,44,4.67,30.88,83.02,1129.91,3,1,44.699999999999996
88,74,75,5.79,23.36,74.14,1945.4,3,3,22.4
33,34,13,6.74,16.71,66.36,1420.22,2,5,75.7
89,40,50,7.93,23.14,41.9,474.7,2,6,42.3
24,28,88,7.17,24.21,70.21,2015.7,6,5,50.199999999999996
21,27,90,6.24,38.62,80.03,1844.96,3,5,50.599999999999994
25,77,99,8.31,27.06,73.79,487.27,3,5,30.799999999999997
53,42,104,7.38,39.1,64.49,398.28,6,5,30.9
41,79,39,8.22,27.3,72.87,898.98,0,5,49.39999999999999
151,16,96,6.61,14.35,88.61,2533.56,4,1,12.499999999999998
132,10,103,5.54,21.53,30.65,378.3,1,1,17.199999999999996
153,89,20,4.71,33.77,69.84,1489.03,3,2,20.4
86,68,42,7.4,22.65,77.58,701.3,0,6,38.0
96,43,47,4.99,12.99,68.33,909.95,0,0,40.5
109,61,119,5.71,12.88,46.39,2355.79,2,5,2.3999999999999986
135,20,14,6.63,17.11,79.37,2581.69,4,1,48.900000000000006
106,17,68,6.76,26.94,84.8,1824.81,5,1,36.89999999999999
87,62,108,6.9,34.9,71.01,2617.08,6,1,13.099999999999996
120,24,60,5.17,26.01,60.66,2599.24,3,1,33.8
76,37,74,6.02,32.38,51.98,820.25,1,1,37.5
153,23,77,6.97,29.37,49.8,2006.05,3,1,17.4
90,67,67,8.38,25.72,73.39,2379.32,1,6,27.099999999999998
122,66,57,7.41,16.44,66.43,1770.95,1,1,21.800000000000004
152,61,67,8.19,36.5,39.41,2456.18,4,6,10.3
79,46,111,7.55,18.27,38.47,1960.73,2,0,19.1
128,11,46,6.87,17.58,34.27,996.48,1,1,40.9
120,43,16,5.27,17.73,71.01,2119.67,6,2,45.7
28,43,69,7.17,12.87,48.86,1846.4,1,5,52.1
151,67,68,6.99,24.96,31.21,1949.86,0,3,8.4
93,82,19,6.91,19.83,50.26,466.9,5,2,40.9
115,70,42,6.46,25.66,79.93,552.06,0,0,28.700000000000003
148,63,60,6.61,23.59,44.86,2481.03,5,6,13.7
106,76,87,5.84,25.59,68.01,1407.56,2,5,11.599999999999998
134,39,45,6.58,18.93,56.38,802.78,3,1,31.099999999999998
135,89,47,5.29,34.45,62.93,459.49,1,0,15.000000000000002
147,68,64,7.72,26.03,65.75,936.13,4,2,10.9
110,67,39,5.24,16.25,57.29,1026.55,5,2,32.300000000000004
98,33,35,4.84,37.05,33.47,2952.3,1,1,47.7
137,24,104,6.24,13.28,64.06,2536.61,1,1,11.099999999999998
26,31,51,7.13,32.0,53.85,419.68,1,5,63.49999999999999
152,41,56,6.25,30.35,41.99,2295.66,4,4,20.700000000000003
135,84,28,5.61,12.19,83.79,1779.0,3,2,24.1
122,51,113,6.73,37.05,74.16,839.73,2,3,3.9000000000000004
72,68,86,5.89,19.49,47.04,2290.42,1,6,24.6
138,64,96,8.23,32.23,62.34,284.5,3,6,1.9999999999999982
22,14,92,8.19,18.31,87.79,2248.29,4,5,53.400000000000006
81,50,89,6.51,25.77,44.73,2706.81,3,3,26.099999999999998
51,66,34,5.81,39.17,86.84,2671.32,3,5,52.3
21,62,99,7.45,28.32,71.0,2362.55,6,5,36.49999999999999
99,47,94,4.65,18.89,62.45,2817.25,1,0,19.599999999999998
143,10,27,6.4,23.75,88.99,2180.52,5,1,44.300000000000004
100,69,18,5.85,30.28,50.02,2122.84,5,2,43.1
72,85,97,8.18,23.36,46.69,273.34,3,6,15.099999999999998
159,55,113,4.55,37.32,50.38,687.73,1,0,0.0
143,13,26,6.71,36.02,75.05,2388.0,6,1,43.8
152,24,103,7.46,14.4,50.22,2993.01,6,1,6.999999999999998
23,21,13,6.44,33.55,36.17,2215.81,3,5,82.6
75,10,64,4.84,38.27,68.66,1823.52,3,1,49.9
99,86,63,8.39,19.51,43.38,713.57,5,6,20.3
64,39,37,6.57,17.15,30.25,2854.15,6,1,55.3
72,83,114,6.96,10.29,41.95,2019.25,0,1,8.899999999999999
92,15,49,5.45,13.47,79.15,1569.31,3,1,49.3
35,82,18,6.43,38.83,86.41,2611.88,5,5,58.7
112,59,45,6.22,21.73,69.72,2869.19,0,0,31.7
132,11,17,4.8,21.62,48.63,1239.32,2,1,51.3
49,15,71,4.92,18.0,56.19,1644.2,4,5,53.4
39,84,95,7.85,14.92,41.67,522.29,4,5,26.099999999999994
125,86,98,5.46,25.26,82.85,2887.59,5,0,0.0
106,47,58,5.28,31.7,69.93,537.89,4,0,31.900000000000002
55,85,79,6.52,26.52,35.06,2801.28,3,5,27.4
41,27,99,7.57,11.06,52.02,734.9,5,5,40.99999999999999
148,28,51,4.75,34.1,62.28,2744.57,3,1,27.8
40,37,11,6.81,37.95,77.84,1466.46,4,5,73.5
24,21,40,4.98,23.21,85.23,1857.78,0,5,71.5
139,61,85,4.65,20.99,37.96,299.74,3,0,7.0
101,86,28,4.71,16.9,80.07,1304.28,3,2,33.7
98,67,110,7.84,19.06,33.95,1581.5,1,6,7.5
